Dependency,License URL,License Type
github.com/felixge/httpsnoop,https://github.com/felixge/httpsnoop/blob/v1.0.4/LICENSE.txt,MIT
github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify/blob/v1.8.0/LICENSE,BSD-3-Clause
github.com/fxamacker/cbor/v2,https://github.com/fxamacker/cbor/blob/v2.7.0/LICENSE,MIT
github.com/getkin/kin-openapi,https://github.com/getkin/kin-openapi/blob/v0.128.0/LICENSE,MIT
github.com/go-chi/chi/v5,https://github.com/go-chi/chi/blob/v5.2.0/LICENSE,MIT
github.com/go-chi/cors,https://github.com/go-chi/cors/blob/v1.2.1/LICENSE,MIT
github.com/go-git/gcfg,https://github.com/go-git/gcfg/blob/3a3c6141e376/LICENSE,BSD-3-Clause
github.com/go-git/go-billy/v5,https://github.com/go-git/go-billy/blob/v5.6.1/LICENSE,Apache-2.0
github.com/go-git/go-git/v5,https://github.com/go-git/go-git/blob/v5.13.1/LICENSE,Apache-2.0
github.com/go-logr/logr,https://github.com/go-logr/logr/blob/v1.4.2/LICENSE,Apache-2.0
github.com/go-logr/stdr,https://github.com/go-logr/stdr/blob/v1.2.2/LICENSE,Apache-2.0
github.com/go-openapi/jsonpointer,https://github.com/go-openapi/jsonpointer/blob/v0.21.0/LICENSE,Apache-2.0
github.com/go-openapi/swag,https://github.com/go-openapi/swag/blob/v0.23.0/LICENSE,Apache-2.0
github.com/go-resty/resty/v2,https://github.com/go-resty/resty/blob/v2.16.2/LICENSE,MIT
github.com/go-sourcemap/sourcemap,https://github.com/go-sourcemap/sourcemap/blob/v2.1.4/LICENSE,BSD-2-Clause
github.com/gofrs/uuid,https://github.com/gofrs/uuid/blob/v4.4.0/LICENSE,MIT
github.com/gogo/protobuf/proto,https://github.com/gogo/protobuf/blob/v1.3.2/LICENSE,BSD-3-Clause
github.com/golang-jwt/jwt/v5,https://github.com/golang-jwt/jwt/blob/v5.2.1/LICENSE,MIT
github.com/golang/groupcache/lru,https://github.com/golang/groupcache/blob/2c02b8208cf8/LICENSE,Apache-2.0
github.com/golang/protobuf,https://github.com/golang/protobuf/blob/v1.5.4/LICENSE,BSD-3-Clause
github.com/golang/snappy,https://github.com/golang/snappy/blob/v0.0.4/LICENSE,BSD-3-Clause
github.com/google/cel-go,https://github.com/google/cel-go/blob/v0.22.1/LICENSE,Apache-2.0
github.com/google/go-cmp/cmp,https://github.com/google/go-cmp/blob/v0.6.0/LICENSE,BSD-3-Clause
github.com/google/pprof/profile,https://github.com/google/pprof/blob/40e02aabc2ad/LICENSE,Apache-2.0
github.com/google/uuid,https://github.com/google/uuid/blob/v1.6.0/LICENSE,BSD-3-Clause
github.com/gorilla/handlers,https://github.com/gorilla/handlers/blob/v1.5.2/LICENSE,BSD-3-Clause
github.com/gorilla/mux,https://github.com/gorilla/mux/blob/v1.8.1/LICENSE,BSD-3-Clause
github.com/gorilla/schema,https://github.com/gorilla/schema/blob/v1.4.1/LICENSE,BSD-3-Clause
github.com/grpc-ecosystem/grpc-gateway/v2,https://github.com/grpc-ecosystem/grpc-gateway/blob/v2.24.0/LICENSE,BSD-3-Clause
github.com/hamba/avro/v2,https://github.com/hamba/avro/blob/v2.27.0/LICENCE,MIT
github.com/hashicorp/errwrap,https://github.com/hashicorp/errwrap/blob/v1.1.0/LICENSE,MPL-2.0
github.com/hashicorp/go-multierror,https://github.com/hashicorp/go-multierror/blob/v1.1.1/LICENSE,MPL-2.0
github.com/hashicorp/go-uuid,https://github.com/hashicorp/go-uuid/blob/v1.0.3/LICENSE,MPL-2.0
github.com/invopop/yaml,https://github.com/invopop/yaml/blob/v0.3.1/LICENSE,MIT
github.com/jbenet/go-context/io,https://github.com/jbenet/go-context/blob/d14ea06fba99/LICENSE,MIT
github.com/jcmturner/aescts/v2,https://github.com/jcmturner/aescts/blob/v2.0.0/v2/LICENSE,Apache-2.0
github.com/jcmturner/dnsutils/v2,https://github.com/jcmturner/dnsutils/blob/v2.0.0/v2/LICENSE,Apache-2.0
github.com/jcmturner/gofork,https://github.com/jcmturner/gofork/blob/v1.7.6/LICENSE,BSD-3-Clause
github.com/jcmturner/gokrb5/v8,https://github.com/jcmturner/gokrb5/blob/v8.4.4/v8/LICENSE,Apache-2.0
github.com/jcmturner/rpc/v2,https://github.com/jcmturner/rpc/blob/v2.0.3/v2/LICENSE,Apache-2.0
github.com/jhump/protoreflect,https://github.com/jhump/protoreflect/blob/v1.16.0/LICENSE,Apache-2.0
github.com/josharian/intern,https://github.com/josharian/intern/blob/v1.0.0/license.md,MIT
github.com/json-iterator/go,https://github.com/json-iterator/go/blob/v1.1.12/LICENSE,MIT
github.com/kevinburke/ssh_config,https://github.com/kevinburke/ssh_config/blob/v1.2.0/LICENSE,MIT
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.17.11/LICENSE,Apache-2.0
github.com/klauspost/compress/internal/snapref,https://github.com/klauspost/compress/blob/v1.17.11/internal/snapref/LICENSE,BSD-3-Clause
github.com/klauspost/compress/s2,https://github.com/klauspost/compress/blob/v1.17.11/s2/LICENSE,BSD-3-Clause
github.com/klauspost/compress/zstd/internal/xxhash,https://github.com/klauspost/compress/blob/v1.17.11/zstd/internal/xxhash/LICENSE.txt,MIT
github.com/knadh/koanf,https://github.com/knadh/koanf/blob/v1.5.0/LICENSE,MIT
github.com/linkedin/goavro,https://github.com/linkedin/goavro/blob/v2.1.0/LICENSE,Apache-2.0
github.com/magiconair/properties,https://github.com/magiconair/properties/blob/v1.8.9/LICENSE.md,BSD-2-Clause
github.com/mailru/easyjson,https://github.com/mailru/easyjson/blob/v0.9.0/LICENSE,MIT
github.com/matoous/go-nanoid/v2,https://github.com/matoous/go-nanoid/blob/v2.1.0/LICENSE,MIT
github.com/mattn/go-colorable,https://github.com/mattn/go-colorable/blob/v0.1.13/LICENSE,MIT
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.20/LICENSE,MIT
github.com/mitchellh/copystructure,https://github.com/mitchellh/copystructure/blob/v1.2.0/LICENSE,MIT
github.com/mitchellh/mapstructure,https://github.com/mitchellh/mapstructure/blob/v1.5.0/LICENSE,MIT
github.com/mitchellh/reflectwalk,https://github.com/mitchellh/reflectwalk/blob/v1.0.2/LICENSE,MIT
github.com/mmcloughlin/avo,https://github.com/mmcloughlin/avo/blob/v0.6.0/LICENSE,BSD-3-Clause
github.com/moby/docker-image-spec/specs-go/v1,https://github.com/moby/docker-image-spec/blob/v1.3.1/LICENSE,Apache-2.0
github.com/moby/patternmatcher,https://github.com/moby/patternmatcher/blob/v0.6.0/LICENSE,Apache-2.0
github.com/moby/sys/sequential,https://github.com/moby/sys/blob/sequential/v0.6.0/sequential/LICENSE,Apache-2.0
github.com/moby/sys/user,https://github.com/moby/sys/blob/user/v0.3.0/user/LICENSE,Apache-2.0
github.com/moby/term,https://github.com/moby/term/blob/v0.5.0/LICENSE,Apache-2.0
github.com/modern-go/concurrent,https://github.com/modern-go/concurrent/blob/bacd9c7ef1dd/LICENSE,Apache-2.0
github.com/modern-go/reflect2,https://github.com/modern-go/reflect2/blob/v1.0.2/LICENSE,Apache-2.0
github.com/mohae/deepcopy,https://github.com/mohae/deepcopy/blob/c48cc78d4826/LICENSE,MIT
github.com/morikuni/aec,https://github.com/morikuni/aec/blob/v1.0.0/LICENSE,MIT
github.com/munnerz/goautoneg,https://github.com/munnerz/goautoneg/blob/a7dc8b61c822/LICENSE,BSD-3-Clause
github.com/nsf/jsondiff,https://github.com/nsf/jsondiff/blob/43f6cf3098c1/LICENSE,MIT
github.com/opencontainers/go-digest,https://github.com/opencontainers/go-digest/blob/v1.0.0/LICENSE,Apache-2.0
github.com/opencontainers/image-spec/specs-go,https://github.com/opencontainers/image-spec/blob/v1.1.0/LICENSE,Apache-2.0
github.com/perimeterx/marshmallow,https://github.com/perimeterx/marshmallow/blob/v1.1.5/LICENSE,MIT
github.com/pierrec/lz4/v4,https://github.com/pierrec/lz4/blob/v4.1.22/LICENSE,BSD-3-Clause
github.com/pjbgf/sha1cd,https://github.com/pjbgf/sha1cd/blob/v0.3.1/LICENSE,Apache-2.0
github.com/pkg/errors,https://github.com/pkg/errors/blob/v0.9.1/LICENSE,BSD-2-Clause
github.com/pmezard/go-difflib/difflib,https://github.com/pmezard/go-difflib/blob/v1.0.0/LICENSE,BSD-3-Clause
github.com/prometheus/client_golang/internal/github.com/golang/gddo/httputil,https://github.com/prometheus/client_golang/blob/v1.20.5/internal/github.com/golang/gddo/LICENSE,BSD-3-Clause
github.com/prometheus/client_golang/prometheus,https://github.com/prometheus/client_golang/blob/v1.20.5/LICENSE,Apache-2.0
github.com/prometheus/client_model/go,https://github.com/prometheus/client_model/blob/v0.6.1/LICENSE,Apache-2.0
github.com/prometheus/common,https://github.com/prometheus/common/blob/v0.61.0/LICENSE,Apache-2.0
github.com/prometheus/procfs,https://github.com/prometheus/procfs/blob/v0.15.1/LICENSE,Apache-2.0
github.com/rcrowley/go-metrics,https://github.com/rcrowley/go-metrics/blob/cf1acfcdf475/LICENSE,BSD-2-Clause-FreeBSD
github.com/russross/blackfriday/v2,https://github.com/russross/blackfriday/blob/v2.1.0/LICENSE.txt,BSD-2-Clause
github.com/santhosh-tekuri/jsonschema/v5,https://github.com/santhosh-tekuri/jsonschema/blob/v5.3.1/LICENSE,Apache-2.0
github.com/segmentio/ksuid,https://github.com/segmentio/ksuid/blob/v1.0.4/LICENSE.md,MIT
github.com/sergi/go-diff/diffmatchpatch,https://github.com/sergi/go-diff/blob/5b0b94c5c0d3/LICENSE,MIT
github.com/sethgrid/pester,https://github.com/sethgrid/pester/blob/v1.2.0/LICENSE.md,MIT
github.com/shirou/gopsutil/v3,https://github.com/shirou/gopsutil/blob/v3.24.5/LICENSE,BSD-3-Clause
github.com/shoenig/go-m1cpu,https://github.com/shoenig/go-m1cpu/blob/v0.1.6/LICENSE,MPL-2.0
github.com/sirupsen/logrus,https://github.com/sirupsen/logrus/blob/v1.9.3/LICENSE,MIT
github.com/skeema/knownhosts,https://github.com/skeema/knownhosts/blob/v1.3.0/LICENSE,Apache-2.0
github.com/stoewer/go-strcase,https://github.com/stoewer/go-strcase/blob/v1.3.0/LICENSE,MIT
github.com/stretchr/testify,https://github.com/stretchr/testify/blob/v1.10.0/LICENSE,MIT
github.com/testcontainers/testcontainers-go,https://github.com/testcontainers/testcontainers-go/blob/v0.34.0/LICENSE,MIT
github.com/tilinna/z85,https://github.com/tilinna/z85/blob/v1.0.0/LICENSE,MIT
github.com/tklauser/go-sysconf,https://github.com/tklauser/go-sysconf/blob/v0.3.14/LICENSE,BSD-3-Clause
github.com/twmb/franz-go/pkg,https://github.com/twmb/franz-go/blob/v1.18.0/LICENSE,BSD-3-Clause
github.com/twmb/franz-go/pkg/kadm,https://github.com/twmb/franz-go/blob/pkg/kadm/v1.14.0/pkg/kadm/LICENSE,BSD-3-Clause
github.com/twmb/franz-go/pkg/kmsg,https://github.com/twmb/franz-go/blob/pkg/kmsg/v1.9.0/pkg/kmsg/LICENSE,BSD-3-Clause
github.com/twmb/franz-go/pkg/sasl/kerberos,https://github.com/twmb/franz-go/blob/pkg/sasl/kerberos/v1.1.0/pkg/sasl/kerberos/LICENSE,BSD-3-Clause
github.com/twmb/franz-go/pkg/sr,https://github.com/twmb/franz-go/blob/pkg/sr/v1.2.0/pkg/sr/LICENSE,BSD-3-Clause
github.com/twmb/franz-go/plugin/kzap,https://github.com/twmb/franz-go/blob/plugin/kzap/v1.1.2/plugin/kzap/LICENSE,BSD-3-Clause
github.com/twmb/go-cache/cache,https://github.com/twmb/go-cache/blob/v1.2.1/LICENSE,MIT
github.com/twmb/tlscfg,https://github.com/twmb/tlscfg/blob/v1.2.1/LICENSE,BSD-3-Clause
github.com/urfave/cli/v2,https://github.com/urfave/cli/blob/v2.27.5/LICENSE,MIT
github.com/vmihailenco/msgpack/v5,https://github.com/vmihailenco/msgpack/blob/v5.4.1/LICENSE,BSD-2-Clause
github.com/vmihailenco/tagparser/v2,https://github.com/vmihailenco/tagparser/blob/v2.0.0/LICENSE,BSD-2-Clause
github.com/x448/float16,https://github.com/x448/float16/blob/v0.8.4/LICENSE,MIT
github.com/xanzy/ssh-agent,https://github.com/xanzy/ssh-agent/blob/v0.3.3/LICENSE,Apache-2.0
github.com/xeipuuv/gojsonpointer,https://github.com/xeipuuv/gojsonpointer/blob/02993c407bfb/LICENSE-APACHE-2.0.txt,Apache-2.0
github.com/xeipuuv/gojsonreference,https://github.com/xeipuuv/gojsonreference/blob/bd5ef7bd5415/LICENSE-APACHE-2.0.txt,Apache-2.0
github.com/xeipuuv/gojsonschema,https://github.com/xeipuuv/gojsonschema/blob/v1.2.0/LICENSE-APACHE-2.0.txt,Apache-2.0
github.com/xrash/smetrics,https://github.com/xrash/smetrics/blob/686a1a2994c1/LICENSE,MIT
github.com/youmark/pkcs8,https://github.com/youmark/pkcs8/blob/a2c0da244d78/LICENSE,MIT
github.com/zencoder/go-smile/decode,Unknown,Unknown
github.com/zencoder/go-smile/domain,Unknown,Unknown
github.com/zencoder/go-smile/smile,Unknown,Unknown
go.opentelemetry.io/auto/sdk,https://github.com/open-telemetry/opentelemetry-go-instrumentation/blob/sdk/v1.1.0/sdk/LICENSE,Apache-2.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp,https://github.com/open-telemetry/opentelemetry-go-contrib/blob/instrumentation/net/http/otelhttp/v0.58.0/instrumentation/net/http/otelhttp/LICENSE,Apache-2.0
go.opentelemetry.io/otel,https://github.com/open-telemetry/opentelemetry-go/blob/v1.33.0/LICENSE,Apache-2.0
go.opentelemetry.io/otel/metric,https://github.com/open-telemetry/opentelemetry-go/blob/metric/v1.33.0/metric/LICENSE,Apache-2.0
go.opentelemetry.io/otel/trace,https://github.com/open-telemetry/opentelemetry-go/blob/trace/v1.33.0/trace/LICENSE,Apache-2.0
go.uber.org/mock,https://github.com/uber/mock/blob/v0.5.0/LICENSE,Apache-2.0
go.uber.org/multierr,https://github.com/uber-go/multierr/blob/v1.11.0/LICENSE.txt,MIT
go.uber.org/zap,https://github.com/uber-go/zap/blob/v1.27.0/LICENSE,MIT
go.vallahaye.net/connect-gateway,https://github.com/vallahaye/connect-gateway/blob/v0.8.0/LICENSE,Apache-2.0
golang.org/x/crypto,https://cs.opensource.google/go/x/crypto/+/v0.32.0:LICENSE,BSD-3-Clause
golang.org/x/exp,https://cs.opensource.google/go/x/exp/+/b2144cdd:LICENSE,BSD-3-Clause
golang.org/x/mod/semver,https://cs.opensource.google/go/x/mod/+/v0.22.0:LICENSE,BSD-3-Clause
golang.org/x/net,https://cs.opensource.google/go/x/net/+/v0.34.0:LICENSE,BSD-3-Clause
golang.org/x/sync,https://cs.opensource.google/go/x/sync/+/v0.10.0:LICENSE,BSD-3-Clause
golang.org/x/sys,https://cs.opensource.google/go/x/sys/+/v0.29.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.21.0:LICENSE,BSD-3-Clause
golang.org/x/tools,https://cs.opensource.google/go/x/tools/+/v0.29.0:LICENSE,BSD-3-Clause
google.golang.org/genproto/googleapis/api,https://github.com/googleapis/go-genproto/blob/e639e219e697/googleapis/api/LICENSE,Apache-2.0
google.golang.org/genproto/googleapis/rpc,https://github.com/googleapis/go-genproto/blob/e639e219e697/googleapis/rpc/LICENSE,Apache-2.0
google.golang.org/grpc,https://github.com/grpc/grpc-go/blob/v1.69.0/LICENSE,Apache-2.0
google.golang.org/protobuf,https://github.com/protocolbuffers/protobuf-go/blob/v1.35.2/LICENSE,BSD-3-Clause
gopkg.in/natefinch/lumberjack.v2,https://github.com/natefinch/lumberjack/blob/v2.2.1/LICENSE,MIT
gopkg.in/warnings.v0,https://github.com/go-warnings/warnings/blob/v0.1.2/LICENSE,BSD-2-Clause
gopkg.in/yaml.v3,https://github.com/go-yaml/yaml/blob/v3.0.1/LICENSE,MIT
