"module name","license","repository"
"@radix-ui/react-focus-guards@1.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-focus-scope@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-id@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-portal@1.1.9","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-presence@1.1.5","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-primitive@2.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-primitive@2.1.4","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slot@1.2.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slot@1.2.4","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-callback-ref@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-controllable-state@1.2.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-effect-event@0.0.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-escape-keydown@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-layout-effect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@reduxjs/toolkit@2.12.0","MIT","https://github.com/reduxjs/redux-toolkit"
"@shikijs/core@3.23.0","MIT","https://github.com/shikijs/shiki"
"@shikijs/engine-javascript@3.23.0","MIT","https://github.com/shikijs/shiki"
"@shikijs/engine-oniguruma@3.23.0","MIT","https://github.com/shikijs/shiki"
"@shikijs/langs@3.23.0","MIT","https://github.com/shikijs/shiki"
"@shikijs/themes@3.23.0","MIT","https://github.com/shikijs/shiki"
"@shikijs/types@3.23.0","MIT","https://github.com/shikijs/shiki"
"@shikijs/vscode-textmate@10.0.2","MIT","https://github.com/shikijs/vscode-textmate"
"@sindresorhus/is@4.6.0","MIT","https://github.com/sindresorhus/is"
"@standard-schema/spec@1.0.0","MIT","https://github.com/standard-schema/standard-schema"
"@standard-schema/spec@1.1.0","MIT","https://github.com/standard-schema/standard-schema"
"@standard-schema/utils@0.3.0","MIT","https://github.com/standard-schema/standard-schema"
"@stepperize/core@1.2.7","MIT","https://github.com/damianricobelli/stepperize"
"@stepperize/react@5.1.9","MIT","https://github.com/damianricobelli/stepperize"
"@tabby_ai/hijri-converter@1.0.5","MIT",""
"@tanstack/history@1.162.1","MIT","https://github.com/TanStack/router"
"@tanstack/query-core@5.102.8","MIT","https://github.com/TanStack/query"
"@tanstack/react-query@5.102.8","MIT","https://github.com/TanStack/query"
"@tanstack/react-router@1.170.32","MIT","https://github.com/TanStack/router"
"@tanstack/react-store@0.11.1","MIT","https://github.com/TanStack/store"
"@tanstack/react-store@0.9.3","MIT","https://github.com/TanStack/store"
"@tanstack/react-table@9.1.2","MIT","https://github.com/TanStack/table"
"@tanstack/react-virtual@3.13.12","MIT","https://github.com/TanStack/virtual"
"@tanstack/router-core@1.171.27","MIT","https://github.com/TanStack/router"
"@tanstack/store@0.11.1","MIT","https://github.com/TanStack/store"
"@tanstack/store@0.9.3","MIT","https://github.com/TanStack/store"
"@tanstack/table-core@9.1.2","MIT","https://github.com/TanStack/table"
"@tanstack/virtual-core@3.13.12","MIT","https://github.com/TanStack/virtual"
"@types/d3-array@3.2.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-color@3.1.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-drag@3.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-ease@3.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-interpolate@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-path@3.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-scale@4.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-selection@3.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-shape@3.1.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-time@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-timer@3.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-transition@3.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-zoom@3.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/debug@4.1.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/eslint-scope@3.7.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/eslint@9.6.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree-jsx@1.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@1.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/hast@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mdast@4.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ms@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@22.19.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prismjs@1.26.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@19.2.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@19.2.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/trusted-types@2.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/unist@2.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/unist@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/use-sync-external-store@0.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@typescript/vfs@1.6.2","MIT","https://github.com/microsoft/TypeScript-Website"
"@uiw/codemirror-extensions-basic-setup@4.25.10","MIT","https://github.com/uiwjs/react-codemirror"
"@uiw/react-codemirror@4.25.10","MIT","https://github.com/uiwjs/react-codemirror"
"@ungap/structured-clone@1.3.0","ISC","https://github.com/ungap/structured-clone"
"@vscode/l10n@0.0.18","MIT","https://github.com/Microsoft/vscode-l10n"
"@webassemblyjs/ast@1.14.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/floating-point-hex-parser@1.13.2","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-api-error@1.13.2","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-buffer@1.14.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-numbers@1.13.2","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-bytecode@1.13.2","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-section@1.14.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/ieee754@1.13.2","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/leb128@1.13.2","Apache-2.0","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/utf8@1.13.2","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-edit@1.14.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-gen@1.14.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-opt@1.14.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-parser@1.14.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-printer@1.14.1","MIT","https://github.com/xtuc/webassemblyjs"
"@xtuc/ieee754@1.2.0","BSD-3-Clause","https://github.com/feross/ieee754"
"@xtuc/long@4.2.2","Apache-2.0","https://github.com/dcodeIO/long.js"
"@xyflow/react@12.9.3","MIT","https://github.com/xyflow/xyflow"
"@xyflow/system@0.0.73","MIT","https://github.com/xyflow/xyflow"
"acorn-import-phases@1.0.4","MIT","https://github.com/nicolo-ribaudo/acorn-import-phases"
"acorn@8.15.0","MIT","https://github.com/acornjs/acorn"
"acorn@8.16.0","MIT","https://github.com/acornjs/acorn"
"ajv-formats@2.1.1","MIT","https://github.com/ajv-validator/ajv-formats"
"ajv-keywords@5.1.0","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv@8.18.0","MIT","https://github.com/ajv-validator/ajv"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"aria-hidden@1.2.6","MIT","https://github.com/theKashey/aria-hidden"
"array-move@4.0.0","MIT","https://github.com/sindresorhus/array-move"
"attr-accept@2.2.5","MIT","https://github.com/react-dropzone/attr-accept"
"bail@2.0.2","MIT","https://github.com/wooorm/bail"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"baseline-browser-mapping@2.10.33","Apache-2.0","https://github.com/web-platform-dx/baseline-browser-mapping"
"big.js@5.2.2","MIT","https://github.com/MikeMcl/big.js"
"bignumber.js@9.3.1","MIT","https://github.com/MikeMcl/bignumber.js"
"bl@4.1.0","MIT","https://github.com/rvagg/bl"
"browserslist@4.28.2","MIT","https://github.com/browserslist/browserslist"
"buffer-from@1.1.2","MIT","https://github.com/LinusU/buffer-from"
"buffer@5.7.1","MIT","https://github.com/feross/buffer"
"caniuse-lite@1.0.30001788","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"ccount@2.0.1","MIT","https://github.com/wooorm/ccount"
"char-regex@1.0.2","MIT","https://github.com/Richienb/char-regex"
"character-entities-html4@2.1.0","MIT","https://github.com/wooorm/character-entities-html4"
"character-entities-legacy@3.0.0","MIT","https://github.com/wooorm/character-entities-legacy"
"character-entities@2.0.2","MIT","https://github.com/wooorm/character-entities"
"character-reference-invalid@2.0.1","MIT","https://github.com/wooorm/character-reference-invalid"
"chownr@1.1.4","ISC","https://github.com/isaacs/chownr"
"chrome-trace-event@1.0.4","MIT","https://github.com/samccone/chrome-trace-event"
"class-variance-authority@0.7.1","Apache-2.0","https://github.com/joe-bell/cva"
"classcat@5.0.5","MIT","https://github.com/jorgebucaran/classcat"
"clipboard-polyfill@4.1.1","MIT","https://github.com/lgarron/clipboard-polyfill"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"cmdk@1.1.1","MIT","https://github.com/pacocoursey/cmdk"
"codemirror@6.0.2","MIT","https://github.com/codemirror/basic-setup"
"comma-separated-tokens@2.0.3","MIT","https://github.com/wooorm/comma-separated-tokens"
"commander@2.20.3","MIT","https://github.com/tj/commander.js"
"cookie-es@3.1.1","MIT","https://github.com/unjs/cookie-es"
"crelt@1.0.6","MIT","https://github.com/marijnh/crelt"
"css-box-model@1.2.1","MIT","https://github.com/alexreardon/css-box-model"
"csstype@3.2.3","MIT","https://github.com/frenic/csstype"
"d3-array@3.2.4","ISC","https://github.com/d3/d3-array"
"d3-color@3.1.0","ISC","https://github.com/d3/d3-color"
"d3-dispatch@3.0.1","ISC","https://github.com/d3/d3-dispatch"
"d3-drag@3.0.0","ISC","https://github.com/d3/d3-drag"
"d3-ease@3.0.1","BSD-3-Clause","https://github.com/d3/d3-ease"
"d3-format@3.1.0","ISC","https://github.com/d3/d3-format"
"d3-interpolate@3.0.1","ISC","https://github.com/d3/d3-interpolate"
"d3-path@3.1.0","ISC","https://github.com/d3/d3-path"
"d3-scale@4.0.2","ISC","https://github.com/d3/d3-scale"
"d3-selection@3.0.0","ISC","https://github.com/d3/d3-selection"
"d3-shape@3.2.0","ISC","https://github.com/d3/d3-shape"
"d3-time-format@4.1.0","ISC","https://github.com/d3/d3-time-format"
"d3-time@3.1.0","ISC","https://github.com/d3/d3-time"
"d3-timer@3.0.1","ISC","https://github.com/d3/d3-timer"
"d3-transition@3.0.1","ISC","https://github.com/d3/d3-transition"
"d3-zoom@3.0.0","ISC","https://github.com/d3/d3-zoom"
"data-uri-to-buffer@4.0.1","MIT","https://github.com/TooTallNate/node-data-uri-to-buffer"
"date-fns-jalali@4.1.0-0","MIT","https://github.com/date-fns-jalali/date-fns-jalali"
"date-fns@4.1.0","MIT","https://github.com/date-fns/date-fns"
"date-fns@4.4.0","MIT","https://github.com/date-fns/date-fns"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"decimal.js-light@2.5.1","MIT","https://github.com/MikeMcl/decimal.js-light"
"decode-named-character-reference@1.2.0","MIT","https://github.com/wooorm/decode-named-character-reference"
"decompress-response@6.0.0","MIT","https://github.com/sindresorhus/decompress-response"
"deep-extend@0.6.0","MIT","https://github.com/unclechu/node-deep-extend"
"dequal@2.0.3","MIT","https://github.com/lukeed/dequal"
"detect-libc@2.1.2","Apache-2.0","https://github.com/lovell/detect-libc"
"detect-node-es@1.1.0","MIT","https://github.com/thekashey/detect-node"
"devlop@1.1.0","MIT","https://github.com/wooorm/devlop"
"discontinuous-range@1.0.0","MIT","https://github.com/dtudury/discontinuous-range"
"dompurify@3.4.12","(MPL-2.0 OR Apache-2.0)","https://github.com/cure53/DOMPurify"
"dotenv@17.2.3","BSD-2-Clause","https://github.com/motdotla/dotenv"
"electron-to-chromium@1.5.340","ISC","https://github.com/Kilian/electron-to-chromium"
"emojilib@2.4.0","MIT","https://github.com/muan/emojilib"
"emojis-list@3.0.0","MIT","https://github.com/kikobeats/emojis-list"
"emoticon@4.1.0","MIT","https://github.com/wooorm/emoticon"
"end-of-stream@1.4.5","MIT","https://github.com/mafintosh/end-of-stream"
"enhanced-resolve@5.20.1","MIT","https://github.com/webpack/enhanced-resolve"
"error-stack-parser@2.1.4","MIT","https://github.com/stacktracejs/error-stack-parser"
"es-cookie@1.5.0","MIT","https://github.com/theodorejb/es-cookie"
"es-module-lexer@2.0.0","MIT","https://github.com/guybedford/es-module-lexer"
"es-toolkit@1.45.1","MIT","https://github.com/toss/es-toolkit"
"escalade@3.2.0","MIT","https://github.com/lukeed/escalade"
"escape-string-regexp@5.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"eslint-scope@5.1.1","BSD-2-Clause","https://github.com/eslint/eslint-scope"
"esrecurse@4.3.0","BSD-2-Clause","https://github.com/estools/esrecurse"
"estraverse@4.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
"estraverse@5.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
"estree-util-is-identifier-name@3.0.0","MIT","https://github.com/syntax-tree/estree-util-is-identifier-name"
"eventemitter3@5.0.4","MIT","https://github.com/primus/eventemitter3"
"events@3.3.0","MIT","https://github.com/Gozala/events"
"expand-template@2.0.3","(MIT OR WTFPL)","https://github.com/ralphtheninja/expand-template"
"extend@3.0.2","MIT","https://github.com/justmoon/node-extend"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-uri@3.1.4","BSD-3-Clause","https://github.com/fastify/fast-uri"
"fault@1.0.4","MIT","https://github.com/wooorm/fault"
"fetch-blob@3.2.0","MIT","https://github.com/node-fetch/fetch-blob"
"file-selector@2.1.2","MIT","https://github.com/react-dropzone/file-selector"
"format@0.2.2","MIT","https://github.com/samsonjs/format"
"formdata-polyfill@4.0.10","MIT","git+https://jimmywarting@github.com/jimmywarting/FormData"
"framer-motion@12.40.0","MIT","https://github.com/motiondivision/motion"
"frontend@0.1.0","UNLICENSED",""
"fs-constants@1.0.0","MIT","https://github.com/mafintosh/fs-constants"
"get-nonce@1.0.1","MIT","https://github.com/theKashey/get-nonce"
"github-from-package@0.0.0","MIT","https://github.com/substack/github-from-package"
"glob-to-regexp@0.4.1","BSD-2-Clause","https://github.com/fitzgen/glob-to-regexp"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"hast-util-parse-selector@4.0.0","MIT","https://github.com/syntax-tree/hast-util-parse-selector"
"hast-util-to-html@9.0.5","MIT","https://github.com/syntax-tree/hast-util-to-html"
"hast-util-to-jsx-runtime@2.3.6","MIT","https://github.com/syntax-tree/hast-util-to-jsx-runtime"
"hast-util-whitespace@3.0.0","MIT","https://github.com/syntax-tree/hast-util-whitespace"
"hast@1.0.0","MIT","https://github.com/wooorm/rehype"
"hastscript@9.0.1","MIT","https://github.com/syntax-tree/hastscript"
"highlight.js@10.7.3","BSD-3-Clause","https://github.com/highlightjs/highlight.js"
"highlightjs-vue@1.0.0","CC0-1.0","https://github.com/highlightjs/highlightjs-vue"
"html-url-attributes@3.0.1","MIT","https://github.com/rehypejs/rehype-minify/tree/main/packages/html-url-attributes"
"html-void-elements@3.0.0","MIT","https://github.com/wooorm/html-void-elements"
"ieee754@1.2.1","BSD-3-Clause","https://github.com/feross/ieee754"
"immer@10.2.0","MIT","https://github.com/immerjs/immer"
"immer@11.1.8","MIT","https://github.com/immerjs/immer"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"ini@1.3.8","ISC","https://github.com/isaacs/ini"
"inline-style-parser@0.2.6","MIT","https://github.com/remarkablemark/inline-style-parser"
"inter-ui@4.1.1","OFL-1.1","https://github.com/philipbelesky/inter-ui"
"internmap@2.0.3","ISC","https://github.com/mbostock/internmap"
"is-alphabetical@2.0.1","MIT","https://github.com/wooorm/is-alphabetical"
"is-alphanumerical@2.0.1","MIT","https://github.com/wooorm/is-alphanumerical"
"is-decimal@2.0.1","MIT","https://github.com/wooorm/is-decimal"
"is-hexadecimal@2.0.1","MIT","https://github.com/wooorm/is-hexadecimal"
"is-plain-obj@4.1.0","MIT","https://github.com/sindresorhus/is-plain-obj"
"isbot@5.1.32","Unlicense","https://github.com/omrilotan/isbot"
"isolated-vm@5.0.4","ISC","https://github.com/laverdet/isolated-vm"
"jest-worker@27.5.1","MIT","https://github.com/facebook/jest"
"js-base64@3.7.8","BSD-3-Clause","https://github.com/dankogai/js-base64"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"json-bigint@1.0.0","MIT","https://github.com/sidorares/json-bigint"
"json-schema-traverse@1.0.0","MIT","https://github.com/epoberezkin/json-schema-traverse"
"json5@2.2.3","MIT","https://github.com/json5/json5"
"jsonc-parser@3.3.1","MIT","https://github.com/microsoft/node-jsonc-parser"
"loader-runner@4.3.1","MIT","https://github.com/webpack/loader-runner"
"loader-utils@2.0.4","MIT","https://github.com/webpack/loader-utils"
"longest-streak@3.1.0","MIT","https://github.com/wooorm/longest-streak"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"lottie-react@2.4.1","MIT","https://github.com/Gamote/lottie-react"
"lottie-web@5.13.0","MIT","https://github.com/airbnb/lottie-web"
"lowlight@1.20.0","MIT","https://github.com/wooorm/lowlight"
"lru-cache@10.4.3","ISC","https://github.com/isaacs/node-lru-cache"
"lucide-react@1.17.0","ISC","https://github.com/lucide-icons/lucide"
"markdown-table@3.0.4","MIT","https://github.com/wooorm/markdown-table"
"marked@14.0.0","MIT","https://github.com/markedjs/marked"
"mdast-util-find-and-replace@3.0.2","MIT","https://github.com/syntax-tree/mdast-util-find-and-replace"
"mdast-util-from-markdown@2.0.2","MIT","https://github.com/syntax-tree/mdast-util-from-markdown"
"mdast-util-gfm-autolink-literal@2.0.1","MIT","https://github.com/syntax-tree/mdast-util-gfm-autolink-literal"
"mdast-util-gfm-footnote@2.1.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-footnote"
"mdast-util-gfm-strikethrough@2.0.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-strikethrough"
"mdast-util-gfm-table@2.0.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-table"
"mdast-util-gfm-task-list-item@2.0.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-task-list-item"
"mdast-util-gfm@3.1.0","MIT","https://github.com/syntax-tree/mdast-util-gfm"
"mdast-util-mdx-expression@2.0.1","MIT","https://github.com/syntax-tree/mdast-util-mdx-expression"
"mdast-util-mdx-jsx@3.2.0","MIT","https://github.com/syntax-tree/mdast-util-mdx-jsx"
"mdast-util-mdxjs-esm@2.0.1","MIT","https://github.com/syntax-tree/mdast-util-mdxjs-esm"
"mdast-util-phrasing@4.1.0","MIT","https://github.com/syntax-tree/mdast-util-phrasing"
"mdast-util-to-hast@13.2.1","MIT","https://github.com/syntax-tree/mdast-util-to-hast"
"mdast-util-to-markdown@2.1.2","MIT","https://github.com/syntax-tree/mdast-util-to-markdown"
"mdast-util-to-string@4.0.0","MIT","https://github.com/syntax-tree/mdast-util-to-string"
"memoize-one@6.0.0","MIT","https://github.com/alexreardon/memoize-one"
"merge-stream@2.0.0","MIT","https://github.com/grncdr/merge-stream"
"micromark-core-commonmark@2.0.3","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-core-commonmark"
"micromark-extension-gfm-autolink-literal@2.1.0","MIT","https://github.com/micromark/micromark-extension-gfm-autolink-literal"
